acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.892,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.892,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.892,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.892,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.892,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.485,-4.41,-0.857,idle_flat
-0.064,-0.026,0.979,2.485,-4.41,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.892,idle_flat
-0.064,-0.026,0.979,2.432,-4.427,-0.892,idle_flat
-0.064,-0.026,0.979,2.432,-4.445,-0.822,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.822,idle_flat
-0.064,-0.025,0.979,2.415,-4.392,-0.822,idle_flat
-0.064,-0.025,0.979,2.415,-4.392,-0.822,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.857,idle_flat
-0.064,-0.026,0.978,2.432,-4.427,-0.857,idle_flat
-0.064,-0.026,0.978,2.45,-4.41,-0.875,idle_flat
-0.063,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.063,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.892,idle_flat
-0.063,-0.025,0.978,2.45,-4.427,-0.892,idle_flat
-0.063,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.84,idle_flat
-0.064,-0.025,0.979,2.415,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.415,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.415,-4.445,-0.84,idle_flat
-0.064,-0.025,0.978,2.415,-4.445,-0.84,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.98,2.45,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.485,-4.41,-0.892,idle_flat
-0.064,-0.025,0.979,2.485,-4.41,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.822,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.822,idle_flat
-0.064,-0.025,0.979,2.415,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.502,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.502,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.857,idle_flat
-0.064,-0.026,0.979,2.415,-4.41,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.445,-0.892,idle_flat
-0.064,-0.026,0.979,2.415,-4.445,-0.892,idle_flat
-0.064,-0.026,0.979,2.432,-4.445,-0.892,idle_flat
-0.064,-0.025,0.978,2.432,-4.445,-0.892,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.822,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.822,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.84,idle_flat
-0.063,-0.026,0.978,2.432,-4.427,-0.84,idle_flat
-0.063,-0.026,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.026,0.98,2.45,-4.427,-0.875,idle_flat
-0.064,-0.026,0.98,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.415,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.892,idle_flat
-0.063,-0.026,0.979,2.432,-4.427,-0.892,idle_flat
-0.063,-0.026,0.979,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.84,idle_flat
-0.064,-0.025,0.978,2.45,-4.445,-0.84,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.026,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.84,idle_flat
-0.064,-0.026,0.979,2.432,-4.445,-0.84,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.485,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.485,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.485,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.415,-4.445,-0.875,idle_flat
-0.064,-0.026,0.979,2.415,-4.445,-0.875,idle_flat
-0.064,-0.026,0.979,2.467,-4.427,-0.857,idle_flat
-0.063,-0.026,0.979,2.467,-4.427,-0.857,idle_flat
-0.063,-0.026,0.979,2.415,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.415,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.485,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.485,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.392,-0.822,idle_flat
-0.064,-0.026,0.979,2.467,-4.392,-0.822,idle_flat
-0.064,-0.025,0.978,2.467,-4.392,-0.822,idle_flat
-0.064,-0.025,0.978,2.467,-4.427,-0.84,idle_flat
-0.064,-0.026,0.978,2.467,-4.427,-0.84,idle_flat
-0.064,-0.026,0.978,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.98,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.98,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.98,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.98,2.467,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.026,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.026,0.978,2.467,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.026,0.978,2.432,-4.427,-0.875,idle_flat
-0.064,-0.026,0.978,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.427,-0.875,idle_flat
-0.063,-0.025,0.978,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.875,idle_flat
-0.064,-0.026,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.026,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.026,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.892,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.892,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.892,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.485,-4.445,-0.84,idle_flat
-0.064,-0.025,0.979,2.485,-4.445,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.392,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.392,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.392,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.392,-0.875,idle_flat
-0.064,-0.025,0.979,2.397,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.397,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.892,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.892,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.892,idle_flat
-0.064,-0.025,0.978,2.45,-4.445,-0.875,idle_flat
-0.064,-0.026,0.979,2.45,-4.445,-0.875,idle_flat
-0.064,-0.026,0.979,2.467,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.432,-4.445,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.445,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.427,-0.84,idle_flat
-0.065,-0.025,0.978,2.467,-4.427,-0.84,idle_flat
-0.065,-0.025,0.978,2.467,-4.445,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.445,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.857,idle_flat
-0.064,-0.025,0.978,2.485,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.485,-4.427,-0.875,idle_flat
-0.064,-0.026,0.979,2.485,-4.427,-0.875,idle_flat
-0.064,-0.026,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.445,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.805,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.805,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.063,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.063,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.84,idle_flat
-0.063,-0.025,0.979,2.467,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.84,idle_flat
-0.064,-0.026,0.978,2.432,-4.445,-0.84,idle_flat
-0.064,-0.026,0.978,2.45,-4.427,-0.857,idle_flat
-0.063,-0.026,0.979,2.45,-4.427,-0.857,idle_flat
-0.063,-0.026,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.026,0.978,2.45,-4.427,-0.875,idle_flat
-0.064,-0.026,0.978,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.427,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.857,idle_flat
-0.063,-0.025,0.979,2.467,-4.41,-0.857,idle_flat
-0.063,-0.025,0.979,2.485,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.485,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.979,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.45,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.392,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.392,-0.875,idle_flat
-0.064,-0.026,0.979,2.432,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.892,idle_flat
-0.064,-0.025,0.979,2.432,-4.445,-0.892,idle_flat
-0.064,-0.025,0.979,2.415,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.415,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.415,-4.445,-0.857,idle_flat
-0.064,-0.026,0.979,2.432,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.84,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.445,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.41,-0.84,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.84,idle_flat
-0.064,-0.025,0.978,2.467,-4.427,-0.875,idle_flat
-0.064,-0.026,0.979,2.467,-4.427,-0.875,idle_flat
-0.064,-0.026,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.392,-0.857,idle_flat
-0.064,-0.025,0.979,2.45,-4.392,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.415,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.392,-0.857,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.063,-0.025,0.979,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.467,-4.41,-0.875,idle_flat
-0.064,-0.025,0.978,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.84,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.427,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.432,-4.41,-0.857,idle_flat
-0.064,-0.025,0.979,2.467,-4.427,-0.857,idle_flat
-0.064,-0.026,0.979,2.467,-4.427,-0.857,idle_flat
